feature,importance,label
MolLogP,0.7686564367427351,Greasiness (oil/water preference)
BertzCT,0.0817921682043836,Structural complexity
MolWt,0.06515932466991099,Molecular weight
PEOE_VSA6,0.0632046642185073,"Surface area carrying charge, band 6 (PEOE_VSA6)"
eng_logp_per_heavy_atom,0.03743045591207951,Greasiness per atom (engineered)
eng_polarity_density,0.031693543571928114,Polar surface per unit mass (engineered)
Chi2v,0.030252889829741964,"Branching pattern, order 2 (Chi2v)"
Chi1v,0.020121458857653426,"Branching pattern, order 1 (Chi1v)"
MinPartialCharge,0.017417387650509576,Strongest negative atomic charge
BCUT2D_MWLOW,0.015777771558119193,Heaviest/lightest atom contribution (BCUT2D_MWLOW)
MaxPartialCharge,0.013831774685398358,Strongest positive atomic charge
qed,0.013581539297049416,Drug-likeness score
Chi0n,0.01202783704357425,"Branching pattern, order 0 (Chi0n)"
SlogP_VSA2,0.011682383736992315,"Surface area by greasiness, band 2 (SlogP_VSA2)"
SMR_VSA10,0.011445709645061659,"Surface area by polarizability, band 10 (SMR_VSA10)"
FpDensityMorgan1,0.010393234844421131,FpDensityMorgan1
AvgIpc,0.009710356149464135,AvgIpc
Chi3n,0.009300713606876215,"Branching pattern, order 3 (Chi3n)"
HallKierAlpha,0.007428843734673399,HallKierAlpha
Kappa2,0.007255320112081956,Molecular shape index 2 (Kappa2)
VSA_EState2,0.007181962814951719,"Electronic state by surface area, band 2 (VSA_EState2)"
PEOE_VSA7,0.0069018823717240845,"Surface area carrying charge, band 7 (PEOE_VSA7)"
MaxAbsEStateIndex,0.006568525969342605,MaxAbsEStateIndex
SlogP_VSA10,0.006510966754347587,"Surface area by greasiness, band 10 (SlogP_VSA10)"
BCUT2D_MRLOW,0.00623165954285978,Most/least polarizable atom contribution (BCUT2D_MRLOW)
BCUT2D_MWHI,0.006022639432048708,Heaviest/lightest atom contribution (BCUT2D_MWHI)
SlogP_VSA4,0.005371819709090841,"Surface area by greasiness, band 4 (SlogP_VSA4)"
fr_Ar_NH,0.003829222913304791,Count of ar nh groups (fr_Ar_NH)
BCUT2D_LOGPHI,0.003185011982125991,Greasiest/least greasy atom contribution (BCUT2D_LOGPHI)
SMR_VSA7,0.003161963100246314,"Surface area by polarizability, band 7 (SMR_VSA7)"
FpDensityMorgan3,0.002969678184328064,FpDensityMorgan3
TPSA,0.002842438624073562,Polar surface area
BalabanJ,0.0026973985260072683,Molecular branching index
SMR_VSA1,0.002544063277628088,"Surface area by polarizability, band 1 (SMR_VSA1)"
BCUT2D_MRHI,0.0025028643240485593,Most/least polarizable atom contribution (BCUT2D_MRHI)
NumHeteroatoms,0.0024815914343987886,Number of heteroatoms (NumHeteroatoms)
EState_VSA3,0.0022934652826565173,"Surface area by electronic state, band 3 (EState_VSA3)"
SlogP_VSA3,0.0022548559027014024,"Surface area by greasiness, band 3 (SlogP_VSA3)"
